index,start,end,track,display_name
170,153.72473305856414,156.19496980734206,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
171,106.93024825074282,109.35048020703536,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
172,175.45681587271156,177.87704782900408,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
173,108.33038244033354,110.350576056743,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
179,140.00341800057507,142.78368446276235,2018_11_13_pm_Sec_2_P1_Kalyani_slates,Performer1_Sess2_Kalyani
180,128.0822754720598,130.7725333077734,2018_11_13_pm_Sec_2_P1_Kalyani_slates,Performer1_Sess2_Kalyani
181,143.24372855362788,145.57395188344674,2018_11_13_pm_Sec_2_P1_Kalyani_slates,Performer1_Sess2_Kalyani
182,134.33287453273266,136.35306814914213,2018_11_13_pm_Sec_2_P1_Kalyani_slates,Performer1_Sess2_Kalyani
189,65.7663030767756,70.48675548739575,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
190,33.28318987827087,36.78352535224767,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
191,132.04265503690212,136.26305952266844,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
192,60.59580753378701,63.876121920828126,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
193,82.99795456723855,86.0982517013323,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
194,21.9521039010831,25.322426914597905,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
195,79.03757500239622,81.72783283810983,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
196,149.54433240678614,152.2345902424997,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
197,171.04639317550078,173.6466423847407,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
198,72.02690309594554,74.53714367871177,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
199,57.675527652640646,60.14576440141857,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
201,131.09256397967982,133.4227873094987,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
202,23.162219879229365,25.312425956100828,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
203,123.8918738617847,126.04207993865616,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
204,172.21650531965875,174.3667113965302,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
205,175.67683695964723,177.82704303651872,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
206,166.14592351193326,168.20612096233103,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
208,36.84353110323013,38.8637247196396,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
209,143.2837323876162,145.30392600402567,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
222,99.509537045912,101.56973449630976,2018_11_13_pm_Sec_3_P1_Todi_A_slates,Performer1_Sess2_TodiA
226,250.9440506086456,255.434480973833,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
227,256.0245375251605,260.2949468034122,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
228,122.68175788363844,126.18209335761524,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
229,83.447997699607,86.76831592063643,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
231,101.30970957538578,104.5000153359532,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
233,189.75818652353107,192.44844435924463,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
234,59.735725103038426,62.33597431227834,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
236,192.228423272309,194.5186427681396,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
237,78.27750215661841,80.51771685996356,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
238,85.38818364803986,87.62839835138502,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
239,57.17547972778682,59.37569059714367,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
240,86.55829579219781,88.75850666155466,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
244,61.17586312661745,63.28606536950061,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
249,231.24216236940472,233.62239049170896,2018_11_13_pm_Sec_4_P1_Shankara_slates,Performer1_Sess2_Shankarabharanam
256,181.65741014089903,185.20775040736123,2018_11_13_pm_Sec_5_P1_Bilahari_slates,Performer1_Sess2_Bilahari
257,147.1140994919965,150.61443496597332,2018_11_13_pm_Sec_5_P1_Bilahari_slates,Performer1_Sess2_Bilahari
258,152.32459886897342,155.69492188248822,2018_11_13_pm_Sec_5_P1_Bilahari_slates,Performer1_Sess2_Bilahari
259,185.2577551998466,188.44806096041404,2018_11_13_pm_Sec_5_P1_Bilahari_slates,Performer1_Sess2_Bilahari
260,43.86420396817789,46.60446659637688,2018_11_13_pm_Sec_5_P1_Bilahari_slates,Performer1_Sess2_Bilahari
261,136.35306814914213,139.04332598485573,2018_11_13_pm_Sec_5_P1_Bilahari_slates,Performer1_Sess2_Bilahari
