"","X_pitch","Y_pitch","X_acc","Y_acc","X_vel","Y_vel","index","performer","performance"
"14",-1.26717469966244,0.552860792459153,0.118679378063341,0.00780999685483829,0.235205882774112,0.0461730265756858,"14","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"15",1.04787904415498,0.314899912311492,0.0851658674504519,0.00995081068828155,0.0427374560873097,0.0654776572814095,"15","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"16",-0.984271656339744,-0.328309457645396,0.0838689434300259,0.00261105072086771,0.260866847773704,0.120922299372737,"16","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"17",-0.475601065188611,-0.277132797857929,0.0739774882374759,0.0072005431234811,0.0201439535054116,0.0859334640266097,"17","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"18",-0.914778724086272,0.324124615049375,0.0874140023390221,0.0114296253626704,0.0227233913793144,0.096662459444647,"18","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"19",-0.645300556584384,0.482769762237661,0.0815513805162943,0.00656656331861981,0.140987237825234,0.134013959266134,"19","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"20",-0.948745425377724,-0.0976901035482839,-0.290790111634184,-0.0169995479025555,-0.51454493923547,0.686332363105091,"25","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"21",-0.853169539042433,-0.246899471089785,-0.135708567199546,-0.0149208835199246,-0.307591804561685,0.0423566531340366,"26","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"22",-1.22843438552102,0.347175203434812,-0.000524368744698373,-0.00218500705453543,-0.110022576114381,-0.0890757480716539,"27","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"23",-0.93256719920185,-0.313303970587961,0.00831532176264797,-0.00126952751869279,0.106323969682651,-0.014334743675581,"28","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"24",-0.418007901140623,0.0561827722345807,0.0685682869386448,0.00593600944344873,-0.0203463294014749,-0.0161872874891295,"29","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"25",-1.19799280298279,0.212525554740632,0.0891650671928202,0.00807598165997947,0.186384806184372,0.119915038733255,"30","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"26",-1.05982582169272,0.243867934848897,0.0413123585236588,0.00110795010072199,0.137706582862448,0.0851048796687045,"31","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"27",-1.05007494477057,0.126187010379637,0.0675395132868721,0.00466078537135887,0.19048587755286,-0.0178193145730062,"32","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"28",-0.555219466153261,-0.623915866738747,0.096255975672704,0.0112301205611896,0.19974092651317,0.0792425910543618,"34","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"29",-1.06014320290388,0.0945139216192119,0.0716960190289083,-0.00238298721612495,0.0293984355720568,0.00476037542476936,"35","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
"30",-0.582387968725463,-0.593430434003808,0.0743797220521475,0.00835911242996039,0.188121864284896,0.160534417380785,"36","performer 1","2018_11_13_am_Sec_2_P1_Shankara_slates"
